,a2c,ddpg,td3,ppo,sac,mean var,dji
2022-07-15,886374.9658054087,950348.0823656615,914080.3059674375,850450.5532853634,880982.7491328735,992581.9627730758,911490.9871598236
2022-07-18,877470.5023196909,945664.6985155639,908485.8051358334,845409.3559258815,879397.2110240478,979417.426657535,905208.6503055337
2022-07-19,897051.433555958,976707.881376892,931649.051336395,862494.5238363849,903857.240381958,1005876.6798603806,927187.0711984901
2022-07-20,898782.5608295175,976679.4194704589,934974.9047642819,871817.5609883358,910805.574743988,1004642.740640281,928579.264311174
2022-07-21,902059.2173694345,983947.1980196532,940647.9453602902,876357.5014152157,916433.5213458557,1014495.6537413885,933300.4194331678
2022-07-22,888748.0695575449,978538.8161150512,939006.3690472714,871713.0328322422,914282.9952876586,1011005.9557881088,929291.5200486506
2022-07-25,884773.4641040537,984673.6349016723,940377.2993107907,865472.8243967564,913971.4336764831,1013153.6293811983,931935.2531199169
2022-07-26,876738.5102466318,975216.8152910765,934983.0679417722,856665.9973800556,904546.8933475036,1002226.9576185694,925278.5808688496
2022-07-27,894724.6922839853,987369.2520891723,947995.5846844785,872190.4118010455,922485.0240962524,1017790.6379268756,937981.6317905261
2022-07-28,909950.0677188608,1000806.4713350829,957149.8149777524,878733.5779072086,932273.3492381591,1026186.2078758294,947654.6655538832
2022-07-29,918258.1083301279,1014715.1940676268,963661.5602208249,883591.5127810909,940960.5801455993,1039939.4050742417,956845.7688094575
2022-08-01,915453.2962115976,1011113.6360308226,965273.3771954648,884589.5885401394,939780.444918396,1037119.7223351646,955484.4146973898
2022-08-02,902523.8756946299,996047.0097567138,950959.6485615842,875356.5266489269,929553.331938507,1028111.0181423321,943766.6755352501
2022-08-03,914396.8356860849,1009633.0206514891,966521.7204915158,889716.6964715893,944848.6797626037,1050934.0925152923,955895.2220487702
2022-08-04,916428.9947742197,1006886.0394503173,965205.8006573789,893165.2881177226,942798.7314784545,1047242.9000498233,953399.1975487205
2022-08-05,919564.785950062,1011231.3860537108,965722.5184002988,894195.9920876018,945152.489184143,1049711.1509275786,955632.1232686064
