,date,account_value
285,2022-11-17,891908.9359453374
286,2022-11-18,892748.0473573857
287,2022-11-21,889976.6878870183
288,2022-11-22,901576.5023554021
289,2022-11-23,905015.0058839971
290,2022-11-25,909524.3060205632
291,2022-11-28,896569.9959619695
292,2022-11-29,893461.6395433599
293,2022-11-30,920243.3924425298
294,2022-12-01,911258.5340631658
295,2022-12-02,911281.9851205999
296,2022-12-05,891956.3175829106
297,2022-12-06,881882.5471819097
298,2022-12-07,878987.0884912664
299,2022-12-08,884257.1514528447
300,2022-12-09,880801.3039262944
301,2022-12-12,899118.4352625066
302,2022-12-13,900595.5107973272
303,2022-12-14,899226.1670206243
304,2022-12-15,880666.9979494268
305,2022-12-16,870554.3657320195
306,2022-12-19,865602.2194460088
307,2022-12-20,869259.3485544377
308,2022-12-21,878803.9810198003
309,2022-12-22,869685.8248766118
310,2022-12-23,873462.6621988469
311,2022-12-27,875717.2918947393
312,2022-12-28,867824.9924867803
313,2022-12-29,880550.294606989
314,2022-12-30,878353.4231126958
315,2023-01-03,881799.6803873235
316,2023-01-04,881828.7805689031
317,2023-01-05,870897.7546022588
318,2023-01-06,891143.5370691472
319,2023-01-09,894193.1951387578
320,2023-01-10,901151.9845598394
321,2023-01-11,905228.7381418401
322,2023-01-12,912867.6444261724
323,2023-01-13,916081.5509012395
324,2023-01-17,912877.8593156987
325,2023-01-18,891009.5697038823
326,2023-01-19,884795.751348322
327,2023-01-20,900144.169896906
328,2023-01-23,905856.857610529
329,2023-01-24,909063.7992685491
330,2023-01-25,911164.2285440618
331,2023-01-26,922363.6181924993
332,2023-01-27,927600.0374086553
333,2023-01-30,919819.0532854253
334,2023-01-31,927627.8475740605
335,2023-02-01,931993.2404268438
336,2023-02-02,939104.8159311467
337,2023-02-03,930901.1290186101
338,2023-02-06,930710.6241663152
339,2023-02-07,940113.5646913701
340,2023-02-08,932573.6116541082
341,2023-02-09,926131.6363924199
342,2023-02-10,924072.3665712529
343,2023-02-13,938925.3631342107
344,2023-02-14,938283.1241129094
345,2023-02-15,937888.696863001
346,2023-02-16,924402.6442468816
347,2023-02-17,923369.187009638
348,2023-02-21,907706.5533922368
349,2023-02-22,905542.3111208135
350,2023-02-23,906595.5790918523
351,2023-02-24,897956.3383920842
352,2023-02-27,901205.5567720586
353,2023-02-28,900684.6931818181
354,2023-03-01,896677.447908228
355,2023-03-02,912325.111970728
356,2023-03-03,922517.229612177
357,2023-03-06,925601.7152574712
358,2023-03-07,914673.7148340398
359,2023-03-08,910837.5513933355
360,2023-03-09,896668.203389948
361,2023-03-10,890293.7760027105
362,2023-03-13,892721.7546098882
363,2023-03-14,908127.2600000554
364,2023-03-15,904855.798929041
365,2023-03-16,917753.4027536565
366,2023-03-17,913064.218812769
367,2023-03-20,916700.5857942754
368,2023-03-21,925165.8291872197
369,2023-03-22,914871.7020013982
370,2023-03-23,922370.2278803044
371,2023-03-24,926084.0182016545
372,2023-03-27,928608.1706293279
373,2023-03-28,927913.8273103887
374,2023-03-29,939199.1602113897
375,2023-03-30,941650.0471971685
376,2023-03-31,952834.9049852544
377,2023-04-03,957773.991620844
378,2023-04-04,955507.7733286077
379,2023-04-05,953695.9783952886
380,2023-04-06,956920.3204782659
381,2023-04-10,956448.1357095891
382,2023-04-11,953795.5704401189
383,2023-04-12,954449.0336397344
384,2023-04-13,969129.5595186406
385,2023-04-14,971736.6323755437
386,2023-04-17,976448.8594682866
387,2023-04-18,976606.0841806585
388,2023-04-19,975649.3236749822
389,2023-04-20,970869.8050821477
390,2023-04-21,971355.3064668828
391,2023-04-24,966518.0108698064
392,2023-04-25,954981.3058031255
393,2023-04-26,961471.7739275151
394,2023-04-27,984074.447606867
395,2023-04-28,992107.1578043157
396,2023-05-01,992803.4433839971
397,2023-05-02,981193.9635141545
398,2023-05-03,976744.2039774114
399,2023-05-04,973403.3507250005
400,2023-05-05,989609.5456751043
401,2023-05-08,988161.3276270085
402,2023-05-09,988588.9229524785
403,2023-05-10,992193.4039705449
404,2023-05-11,987598.491117304
405,2023-05-12,986309.633001154
406,2023-05-15,986921.3614328557
407,2023-05-16,981453.2296846563
408,2023-05-17,992078.3399751836
409,2023-05-18,1000207.1885317022
410,2023-05-19,998141.381830042
411,2023-05-22,993546.5526140386
412,2023-05-23,979217.2884615117
413,2023-05-24,973212.0669496709
414,2023-05-25,980046.8260057622
415,2023-05-26,991137.2908191168
416,2023-05-30,988131.3716182195
417,2023-05-31,986958.7015590154
418,2023-06-01,994579.1482676946
419,2023-06-02,1002488.6182116949
420,2023-06-05,997101.0205859625
421,2023-06-06,996159.7331561529
422,2023-06-07,985364.2583865606
423,2023-06-08,989188.0106830084
424,2023-06-09,993874.5739879095
425,2023-06-12,1001126.5938128912
426,2023-06-13,1000273.3119067632
427,2023-06-14,1002901.3970813238
428,2023-06-15,1021002.2330340826
429,2023-06-16,1019155.6343745672
430,2023-06-20,1011938.7017878973
431,2023-06-21,1008066.4886722051
432,2023-06-22,1012679.745931574
433,2023-06-23,1005554.0125064336
434,2023-06-26,999970.1520137273
435,2023-06-27,1008621.8016032659
436,2023-06-28,1011626.7364863836
